Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Aepyceros melampus,Strongylida,"Haemonchus mitchelli Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus mitchelli,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,1,Uganda,"(Ocaido, M., Siefert, L. & Baranga, J.,) (1999) 'Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal egg counts through a one-year period.' African Journal of Ecology 37: 327-333 , 4 figs.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Haemonchus vegliai Le Roux, 1929",Trichostrongylidae,Haemonchus,Haemonchus vegliai,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Loxodonta africana,Strongylida,Khalilia sp.,Strongylidae,Khalilia,Khalilia sp.,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Next page,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Haemonchus sp.,Trichostrongylidae,Haemonchus,Haemonchus sp.,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Haemonchus bedfordi,Trichostrongylidae,Haemonchus,Haemonchus bedfordi,,3,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",Monnig (1933a),Ortlepp (1961a),,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Haemonchus contortus,Trichostrongylidae,Haemonchus,Haemonchus contortus,,5,"South Africa, Kenya","Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74","Department of Veterinary Services, Kenya, Laboratory Records",Monnig (1933a),Ortlepp (1961a),Veglia (1919),,,,,,,,
Giraffa camelopardalis,Strongylida,"Haemonchus contortus (Rudolphi, 1803)",Trichostrongylidae,Haemonchus,Haemonchus contortus,,2,"South Africa, Kenya",Ortlepp (1961a),Round (Original),,,,,,,,,,,
Giraffa camelopardalis,Strongylida,Haemonchus mitchelli,Trichostrongylidae,Haemonchus,Haemonchus mitchelli,,2,"Namibia, South Africa","Krecek, R. C., J. Boomker, et al. (1990). ""Internal Parasites of Giraffes Giraffa-Camelopardalis-Angolensis from Etosha National Park Namibia."" Journal of Wildlife Diseases 26(3): 395-397.",Ortlepp (1961a),,,,,,,,,,,
Bos taurus,Strongylida,"Orloffia dahurica (Orloff, Belova & Gnedina, 1931)",Trichostrongylidae,Orloffia,Orloffia dahurica,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Orloffia kasakhstanica (Dikov & Nekipelova, 1969)",Trichostrongylidae,Orloffia,Orloffia kasakhstanica,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Orloffia orloffi (Sankin, 1930)",Trichostrongylidae,Orloffia,Orloffia orloffi,,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Oesophagostomum columbianum Curtice, 1890",Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,,3,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Oesophagostomum columbianum Curtice, 1890",Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Oesophagostomum radiatum (Rudolphi, 1803)",Chabertiidae,Oesophagostomum,Oesophagostomum radiatum,,47,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Oesophagostomum (Bosicola) radiatum (Rudolphi, 1803)",Chabertiidae,Oesophagostomum,Oesophagostomum radiatum,,4,,,,,,,,,,,,,,
Bos taurus,Strongylida,Oesophagostomum sp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,10,,,,,,,,,,,,,,
Bos taurus,Strongylida,Oesophagostomum spp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,5,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,Oesophagostomum spp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,1,,,,,,,,,,,,,,
Loxodonta africana,Strongylida,"Murshidia africana (Lane, 1921)",Strongylidae,Murshidia,Murshidia africana,,7,"Zimbabwe, Central African Republic, Tanzania, Uganda, South Africa, Congo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Lopes, A., Rosa, F. & Ferreira, M.L.,) (2002) 'Contribuicao para o conhecimento dos parasitas de animais silvestres da Republica Centro-Africana.' Garcia de Orta, Serie de Zoologia, Lisboa 24(1-2): 75-79 , (Portuguese, English summary).",Baylis (1945),Khalil (1922b),Lane (1921),Vuylsteke (1953),Westhuysen (1938),,,,,,
Phaecochoerus aethiopicus,Strongylida,"Murshidia hamata Daubney, 1923",Strongylidae,Murshidia,Murshidia hamata,,9,"South Africa, Somalia, Sudan, Congo","(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Iori, A. & Lanfranchi, P.,) (1994) 'Nematodes in wild mammals from Somalia.' Parassitologia. Roma 36 Suppl. 1: 82","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.","(Iori, A. & Lanfranchi, P.,) (1994) 'Parasites of Phacochoerus aethiopicus (Pallas).' Parassitologia. Roma 36 Suppl. 1: 83","(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",Daubney (1923),Myers et al. (1960),Ortlepp (1964a),van den Berghe (1943),,,,
Loxodonta africana,Strongylida,"Murshidia linstowi Khalil, 1922",Strongylidae,Murshidia,Murshidia linstowi,,8,"Central African Republic, Congo, Uganda, Liberia, Cameroon","(Lopes, A., Rosa, F. & Ferreira, M.L.,) (2002) 'Contribuicao para o conhecimento dos parasitas de animais silvestres da Republica Centro-Africana.' Garcia de Orta, Serie de Zoologia, Lisboa 24(1-2): 75-79 , (Portuguese, English summary).",Gedoelst (1922),Chabaud and Rousselot (1956a),Khalil (1922a),Khalil (1922b),Khalil (1932),Linstow (1907),Westhuysen (1938),,,,,
Loxodonta africana,Strongylida,"Murshidia memphisia (Khalil, 1922)",Strongylidae,Murshidia,Murshidia memphisia,,5,"Central African Republic, Uganda, Congo","(Lopes, A., Rosa, F. & Ferreira, M.L.,) (2002) 'Contribuicao para o conhecimento dos parasitas de animais silvestres da Republica Centro-Africana.' Garcia de Orta, Serie de Zoologia, Lisboa 24(1-2): 75-79 , (Portuguese, English summary).",Khalil (1922b),Khalil (1922a),Vuylsteke (1953),Westhuysen (1938),,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Murshidia pugnicaudata (Leiper, 1909)",Strongylidae,Murshidia,Murshidia pugnicaudata,,8,"South Africa, Somalia, Tanzania","(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Iori, A. & Lanfranchi, P.,) (1994) 'Nematodes in wild mammals from Somalia.' Parassitologia. Roma 36 Suppl. 1: 82","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.","(Iori, A. & Lanfranchi, P.,) (1994) 'Parasites of Phacochoerus aethiopicus (Pallas).' Parassitologia. Roma 36 Suppl. 1: 83","(Iori, A. & Lanfranchi, P.,) (1996) 'Contribution to the knowledge of helminthofauna of wild mammals of Somalia.' Parassitologia. Roma 38(3): 511-515 , 2 figs.",Leiper (1909),Daubney (1923),Ortlepp (1964a),,,,,
Loxodonta africana,Strongylida,Murshidia sp.,Strongylidae,Murshidia,Murshidia sp.,,6,"Zimbabwe, Central African Republic, Congo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","(Lopes, A., Rosa, F. & Ferreira, M.L.,) (2002) 'Contribuicao para o conhecimento dos parasitas de animais silvestres da Republica Centro-Africana.' Garcia de Orta, Serie de Zoologia, Lisboa 24(1-2): 75-79 , (Portuguese, English summary).",Sandground (1929),Sandground (1930),Strong and Shattuck (1930),Railliet and Henry (1918),,,,,,,
Phaecochoerus aethiopicus,Strongylida,Murshidia spp.,Strongylidae,Murshidia,Murshidia sp.,,2,South Africa,"(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",,,,,,,,,,,
Bos taurus,Strongylida,"Oesophagostomum venulosum (Rudolphi, 1809)",Chabertiidae,Oesophagostomum,Oesophagostomum venulosum,,5,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Oesophagostomum venulosum (Rudolphi, 1809)",Chabertiidae,Oesophagostomum,Oesophagostomum venulosum,,4,,,,,,,,,,,,,,
Taurotragus oryx,Strongylida,"Oesophagostomum walkeri Monnig, 1932",Chabertiidae,Oesophagostomum,Oesophagostomum walkeri,,4,"Zimbabwe, Kenya",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Monnig (1932b),Monnig (1933a),,,,,,,,,
Aepyceros melampus,Strongylida,"Oesophagostomum columbianum Curtice, 1890",Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,n,2,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Helminth parasites of cattle and antelope in a mixed farmining system in Zimbabwe,"Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",,,,,,,,,
Aepyceros melampus,Strongylida,Oesophagostomum sp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,2,"South Africa, Uganda","(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.","(Ocaido, M., Siefert, L. & Baranga, J.,) (1999) 'Seasonal changes of impala (Aepyceros melampus, Lichtenstein, 1812) faecal egg counts through a one-year period.' African Journal of Ecology 37: 327-333 , 4 figs.",,,,,,,,,,,
Aepyceros melampus,Strongylida,"Oesophagostomum walkeri Monnig, 1932",Chabertiidae,Oesophagostomum,Oesophagostomum walkeri,,1,Zimbabwe,Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Oesophagostomum columbianum,Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,,1,South Africa,"Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74",,,,,,,,,,,,
Equus burchelli,Strongylida,"Oesophagostomum mwanzae Daubney, 1924",Chabertiidae,Oesophagostomum,Oesophagostomum mwanzae,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Loxodonta africana,Strongylida,Oesophagostomum mpwapwe,Chabertiidae,Oesophagostomum,Oesophagostomum mpwapwe,,1,Tanzania,Duthy (1947),,,,,,,,,,,,
Loxodonta africana,Strongylida,Oesophagostomum mwanzae,Chabertiidae,Oesophagostomum,Oesophagostomum mwanzae,,1,Tanzania,Duthy (1947),,,,,,,,,,,,
Loxodonta africana,Strongylida,Oesophagostomum simpsoni,Chabertiidae,Oesophagostomum,Oesophagostomum simpsoni,,1,Tanzania,Duthy (1947),,,,,,,,,,,,
Loxodonta africana,Strongylida,Oesophagostomum yorkei,Chabertiidae,Oesophagostomum,Oesophagostomum yorkei,,1,Tanzania,Duthy (1947),,,,,,,,,,,,
Nanger granti,Strongylida,"Oesophagostomum columbianum Curtice, 1890",Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Nanger granti,Strongylida,"Oesophagostomum multifoliatum (Daubney and Hudson, 1932)",Chabertiidae,Oesophagostomum,Oesophagostomum multifoliatum,,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Oryx gazella,Strongylida,Oesophagostomum sp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,1,South Africa,"Fourie, L. J., Vrahimis, S., Horak, I. G., Terblanche, H. J. and O. B. Kok (1991) Ecto- and endoparasites of introduced gemsbok in the Orange Free State. South African Journal of Wildlife Research, 21: 82-87.",,,,,,,,,,,,
Oryx gazella,Strongylida,Oesophagostomum columbianum.,Chabertiidae,Oesophagostomum,Oesophagostomum columbianum,,1,"South Africa, Johannesburg Zoo",LeRoux (1930b),,,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Oesophagostomum mocambiquei Ortlepp, 1964",Chabertiidae,Oesophagostomum,Oesophagostomum mocambiquei,,4,"South Africa, Mozambique","(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.","(Boomker, J.,) (1990) 'Parasites of South African wildlife. V. A description of the males of Oesophagostomum mocambiquei Ortlepp, 1964 from warthogs, Phacochoerus aethiopicus (Pallas, 1766).' Onderstepoort Journal of Veterinary Research. Pretoria 57(3): 169-173 , 7 figs.",Ortlepp (1964a),,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Oesophagostomum mwanzae Daubney, 1924",Chabertiidae,Oesophagostomum,Oesophagostomum mwanzae,,12,"South Africa, Tanzania, Mali, Ghana, Mozambique, DC Zoo, Zimbabwe, Congo, Senegal","(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",Daubney (1924),Daubney (1926a),Duthy (1947),Goodey (1924a),LeRoux (140),Ortlepp (1964a),Schwartz (1928a),Thornton (1924),Vuylsteke (1956),Gendre (1928),
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum spp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,4,"South Africa, Uganda","(Boomker, J., et al.,) (1991) 'Parasites of South African wildlife. VIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal.' Onderstepoort Journal of Veterinary Research. Pretoria 58(3): 195-202 , 7 figs, 4 tabs.","(Horak, I.G., et al.,) (1988) 'Parasites of domestic and wild animals in South Africa. XXIII. Helminth and arthropod parasites of warthogs, Phacochoerus aethiopicus, in the Eastern Transvaal lowveld.' Onderstepoort Journal of Veterinary Research. Pretoria 55(3): 145-152 , 3 figs.",Mettam (1932),Uganda (1930),,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum eurycephalum,Chabertiidae,Oesophagostomum,Oesophagostomum eurycephalum,,4,"Zimbabwe, Mozambique, DC Zoo","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Ortlepp (1964a),Schwartz (1928a),Thornton (1924),,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Oesophagostomum mpwapwe Duthy, 1947",Chabertiidae,Oesophagostomum,Oesophagostomum mpwapwe,,3,"Zimbabwe, Tanzania, Mozambique","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Duthy (1947),Ortlepp (1964a),,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Oesophagostomum simpsoni Goodey, 1924",Chabertiidae,Oesophagostomum,Oesophagostomum simpsoni,,6,"Zimbabwe, Tanzania, Ghana, Congo, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Duthy (1947),Goodey (1924a),Ortlepp (1964a),Sandground (1937a),Thornton (1924),,,,,,,
Phaecochoerus aethiopicus,Strongylida,"Oesophagostomum yorkei Thornton, 1924",Chabertiidae,Oesophagostomum,Oesophagostomum yorkei,,6,"Zimbabwe, Ghana, Mozambique, DC Zoo, Tanzania","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",LeRoux (1940),Ortlepp (1964a),Schwartz (1928a),Thornton (1924),Duthy (1947),,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum aethiopicum,Chabertiidae,Oesophagostomum,Oesophagostomum aethiopicum,,1,Tanzania,Duthy (1947),,,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum goodeyi,Chabertiidae,Oesophagostomum,Oesophagostomum goodeyi,,4,"Mali, Senegal, Uganda, Congo",Daubney (1926a),Roung (Original),Sandground (1937a),Gendre (1928),,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum oldi,Chabertiidae,Oesophagostomum,Oesophagostomum oldi,,4,"Uganda, Ghana, Mozambique, Rhodesia",Goodey (1924a),LeRoux (1940),Ortlepp (1964a),Thornton (1924),,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum roubaudi,Chabertiidae,Oesophagostomum,Oesophagostomum roubaudi,,2,"Mali, Senegal",Daubney (1926a),Gendre (1928),,,,,,,,,,,
Phaecochoerus aethiopicus,Strongylida,Oesophagostomum santosdiasi,Chabertiidae,Oesophagostomum,Oesophagostomum santosdiasi,,1,"South Africa, Mozambique",Ortlepp (1964a),,,,,,,,,,,,
Aepyceros melampus,Strongylida,"Longistrongylus meyeri Le Roux, 1931",Trichostrongylidae,Longistrongylus,Longistrongylus meyeri,,1,Tanzania,"(Durette-Desset, M.C. & Cabaret, J.,) (1994) 'The distance between cuticular ridges follow a Gaussian function in ostertagiine nematodes: the postential use of this phenomenon as a taxonomic criterion.' Systematic Parasitology. Dordrecht 29: 13-22 , 9 figs, 2 tabs.",,,,,,,,,,,,
Aepyceros melampus,Strongylida,Longistrongylus sabie,Trichostrongylidae,Longistrongylus,Longistrongylus sabie,,3,"Zimbabwe, South Africa","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",Helminth parasites of cattle and antelope in a mixed farming system in Zimbabwe.,"(Hoberg, E.P., Lichtenfels, J.R. & Pilitt, P.A.,) (1993) 'Synlophe of Cooperia neitzi (Trichostrongylidae: Cooperiinae) with comments on vulval inflations and hypertrophy of cuticular ridges among the trichostrongylids.' Journal of the Helminthological Society of Washington, 60(2): 153-161 , 11 figs.","Pletcher, J M, Horak, I G, De Vos, V, Boomker, J (1984) Nodular abomasitis in impala (Aepyceros melampus) caused by the nematode, Longistrongylus sabie. Journal of Parasitology, 70 (6) 907-910","Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.","Horak, I. G., Boomker, J., Kingsley, S., and V. De Vos (1983) The efficacy of ivermectin against helminth and arthropod parasites of impala. Journal of the South African Veterinary Association, 54: 251-253",,,,,,,
Aepyceros melampus,Strongylida,"Longistrongylus schrenki Ortlepp, 1939",Trichostrongylidae,Longistrongylus,Longistrongylus schrenki,,1,South Africaa,"(Boomker, J., et al.,) (1989) 'Parasites of South African wildlife. III. Helminths of common reedbuck, Redunca arundinum, in Natal.' Onderstepoort Journal of Veterinary Research. Pretoria 56(1): 51-57 , 2 figs. 4 tabs.",,,,,,,,,,,,
Syncerus caffer,Strongylida,Oesophagostomum sp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Oesophagostomum mwanzae,Chabertiidae,Oesophagostomum,Oesophagostomum mwanzae,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Oesophagostomum radiatum,Chabertiidae,Oesophagostomum,Oesophagostomum radiatum,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Taurotragus oryx,Strongylida,Oesophagostomum sp.,Chabertiidae,Oesophagostomum,Oesophagostomum sp.,,2,"Zimbabwe, Zambia","(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32","Zieger, U., Boomker, J., Cauldwell, A. E., and I. G. Horak (1998) Helminths and bot fly larvae of wild ungulates on a game ranch in Central Province, Zambia. Onderstepoort Journal of Veterinary Research, 65: 137-141",,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,"Longistrongylus thalae (Troncy & Graber, 1973)",Trichostrongylidae,Longistrongylus,Longistrongylus thalae,,1,South Africa,"(Boomker, J. & Durette-Desset, M.-C.,) (1997) 'Supplement to the description of Longistrongylus thalae (Troncy & Graber, 1973) Gibbons, 1981 (Nematoda: Ostertagiinae).' Systematic Parasitology. Dordrecht 36: 69-73 , 10 figs.",,,,,,,,,,,,
Alcelaphus buselaphus,Strongylida,Longistrongylus meyeri,Trichostrongylidae,Longistrongylus,Longistrongylus meyeri,,2,South Africa,LeRoux (1931),Ortlepp (1961a),,,,,,,,,,,
Oryx gazella,Strongylida,Longistringylus sp.,Trichostrongylidae,Longistrongylus,Longistrongylus sp.,,1,South Africa,"Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.",,,,,,,,,,,,
Equus burchelli,Strongylida,"Oesophagodontus robustus (Giles, 1892)",Chabertiidae,Oesophagodontus,Oesophagodontus robustus,,3,London Zoo,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Turner (1920),Vevers (1920),,,,,,,,,,
Equus asinus,Strongylida,"Oesophagodontus robustus (Giles, 1892)",Chabertiidae,Oesophagodontus,Oesophagodontus robustus,,1,,,,,,,,,,,,,,
Equus asinus,Strongylida,Oesophagodontus sp.,Chabertiidae,Oesophagodontus,Oesophagodontus sp.,,1,,,,,,,,,,,,,,
Oryx gazella,Strongylida,Longistringylus curvispiculum.,Trichostrongylidae,Longistrongylus,Longistrongylus curvispiculum,,2,Texas,"Craig, T. M. (1993) Longistrongylus curvispiculum (Nematoda: Trichostrongyloidea) in free-ranging exotic antelope in Texas. Journal of Wildlife Diseases, 29: 516-517.","Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41",,,,,,,,,,,
Equus asinus,Strongylida,Oesophagodontus spp.,Chabertiidae,Oesophagodontus,Oesophagodontus sp.,,1,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus abnormalis May, 1920",Trichostrongylidae,Nematodirus,Nematodirus abnormalis,,2,,,,,,,,,,,,,,
Camelus dromedarius,Strongylida,"Nematodirus abnormalis May, 1920",Trichostrongylidae,Nematodirus,Nematodirus abnormalis,,2,,,,,,,,,,,,,,
Bos taurus,Strongylida,"Nematodirus battus Crofton & Thomas, 1951",Trichostrongylidae,Nematodirus,Nematodirus battus,,2,,,,,,,,,,,,,,
Loxodonta africana,Strongylida,"Strongylus edentatus Looss, 1900",Strongylidae,Strongylus,Strongylus edentatus,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Equus asinus,Strongylida,"Strongylus edentatus Looss, 1900",Strongylidae,Strongylus,Strongylus edentatus,,8,,,,,,,,,,,,,,
Equus burchelli,Strongylida,"Strongylus equinus Muller, 1780",Strongylidae,Strongylus,Strongylus equinus,"Strongylus armatus, Sclerostomum equinum",3,"Tanzania, Anvers Zoo","[Strongylidae of domestic and wild horses.] Not original, distribution data given.",Leiper (1909 and 1910e),Vuylsteke (1956),,,,,,,,,,
Equus asinus,Strongylida,"Strongylus equinus Muller, 1780",Strongylidae,Strongylus,Strongylus equinus,,11,,,,,,,,,,,,,,
