Host,Nematodes Rhabditida,Parasite,Family,Genus,Species_clean,Synonyms,Refs,Location,R_1,R_2,R_3,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12
Equus asinus,Strongylida,"Cylicocyclus adersi Boulenger, 1920",Strongylidae,Cylicocyclus,Cylicocyclus adersi,,3,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus asini Matthee, Krecek & Gibbons, 2002",Strongylidae,Cylicocyclus,Cylicocyclus asini,,1,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicostomum longibursatum,Strongylidae,Cylicostomum,Cylicostomum longibursatum,,1,Zambia,LeRoux (1932),,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicostomum minutum,Strongylidae,Cylicostomum,Cylicostomum minutum,Cyclicostomum calicatum,1,Kenya,"Department of Veterinary Services, Kenya, Laboratory Records, 1938",,,,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus auriculatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus auriculatus,,1,Zimbabwe,"(Jooste, R.,) (1990) 'A checklist of the helminth parasites of the larger domestic and wild mammals of Zimbabwe.' Transactions of the Zimbabwe Scientific Association, 64(3): 16-32",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus auriculatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus auriculatus,,10,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus bidentatus (Ihle, 1925)",Strongylidae,Cylicocyclus,Cylicocyclus bidentatus,,2,,,,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus brevicapsulatus (Ihle, 1920)",Strongylidae,Cylicocyclus,Cylicocyclus brevicapsulatus,,3,,,,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicocyclus auriculatum,Strongylidae,Cylicocyclus,Cylicocyclus auriculatum,,1,Kenya,Round (Original),,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicocyclus elongatum,Strongylidae,Cylicocyclus,Cylicocyclus elongatum,,1,Kenya,Round (Original),,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicocyclus gyalocephaloides,Strongylidae,Cylicocyclus,Cylicocyclus gyalocephaloides,,1,Uganda,Round (Original),,,,,,,,,,,,
Equus burchelli,Strongylida,Cylicocyclus adersi,Strongylidae,Cylicocyclus,Cylicocyclus adersi,Cylicostomum adersi,3,"South Africa, Zambia, Kenya","Department of Veterinary Services, Kenya, Laboratory Records, 1938",Monnig (1928),LeRoux (1932),,,,,,,,,,
Equus burchelli,Strongylida,"Cylicocyclus elongatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus elongatus,,1,NA,"[Strongylidae of domestic and wild horses.] Not original, distribution data given.",,,,,,,,,,,,
Equus asinus,Strongylida,"Cylicocyclus elongatus (Looss, 1900)",Strongylidae,Cylicocyclus,Cylicocyclus elongatus,,7,,,,,,,,,,,,,,
