"rownames","Sample_ID","MOTU_1","MOTU_2","MOTU_3","MOTU_4","MOTU_5","MOTU_6","MOTU_7","MOTU_8","MOTU_9","MOTU_10","MOTU_11","MOTU_12","MOTU_13","MOTU_14","MOTU_15","MOTU_16","MOTU_17","MOTU_18","MOTU_19","MOTU_20","MOTU_21","MOTU_22","MOTU_23","MOTU_24","MOTU_25","MOTU_26","MOTU_27","MOTU_28","MOTU_29","MOTU_30","MOTU_31","MOTU_32","MOTU_33","MOTU_34","MOTU_35","MOTU_36","MOTU_37","MOTU_38","MOTU_39","MOTU_40","MOTU_41","MOTU_42","MOTU_43","MOTU_44","MOTU_45","MOTU_46","MOTU_47","MOTU_48","MOTU_49","MOTU_50","MOTU_51","MOTU_52","MOTU_53","MOTU_54","MOTU_55","MOTU_56","MOTU_57","MOTU_58","MOTU_59","MOTU_60","MOTU_61","MOTU_62","MOTU_63","MOTU_64","MOTU_65","MOTU_66","MOTU_67","MOTU_68","MOTU_69","MOTU_70","MOTU_71","MOTU_72","MOTU_73","MOTU_74","MOTU_75","MOTU_76","MOTU_77","MOTU_78","MOTU_79","MOTU_80","MOTU_81","MOTU_82","MOTU_83","MOTU_84","MOTU_85","MOTU_86","MOTU_87","MOTU_88","MOTU_89","MOTU_90","MOTU_91","MOTU_92","MOTU_93","MOTU_94","MOTU_95","MOTU_96","MOTU_100","MOTU_101","MOTU_102","MOTU_103","MOTU_104","MOTU_105","MOTU_106","MOTU_109","MOTU_110","MOTU_111","MOTU_112","MOTU_114","MOTU_116","MOTU_117","MOTU_119","MOTU_120","MOTU_121","MOTU_123","MOTU_124","MOTU_126","MOTU_129","MOTU_132","MOTU_134","MOTU_135","MOTU_136","MOTU_137","MOTU_141","MOTU_142","MOTU_143","MOTU_144","MOTU_146","MOTU_147","MOTU_148","MOTU_149","MOTU_152","MOTU_153","MOTU_157","MOTU_162","MOTU_163","MOTU_164","MOTU_172","MOTU_173","MOTU_192","MOTU_194","MOTU_204","MOTU_205","MOTU_209","MOTU_211","MOTU_216","MOTU_217","MOTU_229","MOTU_246","MOTU_260","MOTU_269","MOTU_270","MOTU_277","MOTU_287","MOTU_288","MOTU_292","MOTU_303","MOTU_305","MOTU_308","MOTU_309","MOTU_315","MOTU_334","MOTU_343","MOTU_348","MOTU_350","MOTU_415","MOTU_423","MOTU_461","MOTU_463","MOTU_473","MOTU_486","MOTU_491","MOTU_510","MOTU_519","MOTU_529","MOTU_557","total_reads"
"135","HIP_17_028",0.952727272727273,0,0,0,0,0,0,0,0,0.0472727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
"136","HIP_17_030",0,0,0,0,0,0.187230060466456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549236970918514,0,0.136985315289375,0,0,0,0.0627699395335445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33846818312698,0,0,0,0,0,0.0321767923985027,0,0,0,0,0,0,0,0,0,0.0167002591419522,0,0,0,0,0,0,0,0,0,0,0,0,0.0569392456089836,0,0,0,0,0,0.0379355024474518,0,0.0333285344082925,0,0,0,0,0,0.0114454362222862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13892
"137","HIP_17_032",0,0,0,0,0,0,0,0.461133286696021,0,0,0.469528002962841,0,0,0,0,0,0,0.0343607258960537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24301
"138","HIP_17_034",0,0,0,0,0,0,0,0,0,0,0,0.710911334390975,0,0,0,0,0,0,0,0,0,0,0.288736118455843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5673
"139","HIP_17_035",0,0,0,0,0,0.0870307167235495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725255972696246,0,0.112627986348123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290102389078498,0,0,0,0,0,0.0119453924914676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586
"140","HIP_17_036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507765830346475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362604540023895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338112305854241,0,0,0,0,0.248506571087216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674
"141","HIP_17_044",0,0.992705359974627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18918
"142","HIP_17_052",0.763363028953229,0,0,0,0,0,0,0,0,0.234409799554566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796
"143","HIP_17_053",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708
"144","HIP_17_054",0.619694397283531,0,0,0,0,0,0,0,0,0.375212224108659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178
