"Date","Period","Status","Treatment","X.","Tsect","Side","Dist","Elephant","Zebra","Giraffe","Hare","Cow","Buffalo","Impala","Rhino","Gazelle","Eland","Warthog","Eegg","Emult","Begg","Bmult","Cegg","Cmult","Zegg","Zmult","Iegg","Imult","Gegg","Gmult","Gagg","Gamult","Elegg","Elmult","all"
"9/21/2016",0,"Pre","CONT","Jericho","C",0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,120,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,176.449608536084,0,0,0,0,176.449608536084
"9/21/2016",0,"Pre","CONT","Jericho","C",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","C",0,150,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5266144714778,352.899217072167,0,0,0,0,352.899217072167
"9/21/2016",0,"Pre","CONT","Jericho","D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,10,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.913748514497,24257.7898930438,0,0,0,0,0,0,0,0,24257.7898930438
"9/21/2016",0,"Pre","CONT","Jericho","D",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9/21/2016",0,"Pre","CONT","Jericho","D",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
