Host	Parasite	Reference	Is Prevalence Reported?	Is Prevalence Zero?
Aepyceros melampus	Cooperia fuelleborni	Boomker, J, Horak, I G, Flamand, J R B, and Keep, M E (1989) Parasites of South African wildlife: III. Helminths of common reedbuck, Redunca arundinum, in Natal. Onderstepoort Journal of Veterinary Research, 56: 51-57	yes	no
Antidorcas marsupialis	Paracooperia serrata	Boomker, J., Horak, I. G., Watermeyer, R., and D. G. Booyse (2000) Parasites of South African wildlife. XVI. Helminths of some antelope species from the Eastern and Western Cape Provinces. Onderstepoort Journal of Veterinary Research, 67: 31-41	yes	no
Axis axis	Cooperia pectinata	McKenzie, M. E. and W. R. Davidson (1989). "Helminth Parasites of Intermingling Axis Deer, Wild Swine and Domestic Cattle from the Island of Molokai, Hawaii USA." Journal of Wildlife Diseases 25(2): 252-257.	yes	yes
Bison bonasus	Cooperia zurnabada	Drozdz, J., W. Demiaszkiewicz Aleksander, et al. (1994). "The helminth fauna of free-ranging European bison, Bison bonasus (L.), studied again 8 years after reduction of bisons, in the Bialowieza Forest." Acta Parasitologica 39(2): 88-91.	yes	no
Damaliscus pygargus	Cooperia	Mares, R C, Amaral, L, and Fachada, L C (1984) Helminth parasites of game in Transkei. Journal of South African Veterinary Association, 55: 73-74	no	no
Cervus elaphus	Cooperia	McKenzie, R. A., P. E. Green, et al. (1985). "Diseases of Deer in Southeastern Queensland Australia." Australian Veterinary Journal 62(12): 424.	yes	no
Tragelaphus angasii	Paracooperia horaki	Boomker, J., Horak, I. G., and J. R. B. Flamand (1991) Parasites of South African Wildlife. XII. Helminths of nyala, Tragelaphus angasii in Natal. Onderstepoort Journal of Veterinary Research, 58: 275-280	yes	no
Rupicapra rupicapra	Cooperia	Genchi, C., Bossi, A and M. T. Manfredi (1985) Gastrointestinal infections in wild ruminants Rupicapra rupicapra amd Dama dama: influence of density and cohabitation with domestic ruminants. Parassitologia, 27: 211-223.	yes	no
Tragelaphus strepsiceros	Cooperia pectinata	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Aepyceros melampus	Cooperia fuelleborni	Anderson, I. G. (1982) The prevalence of helminths in impala Aepyceros melampus (Lichtenstein 1812) under game ranching conditions. South African Journal of wildlife Research, 13: 55-70.	yes	no
Tragelaphus strepsiceros	Cooperia acutispiculum	Boomker, J., Anthonissen, M., and I. G. Horak (1988) Parasites of South african Wildlife. II. Helminths of kudu, Tragelaphus strepsiceros, from South West Africa/Namibia. Onderstepoort Journal of Veterinary Research, 55: 231-233	yes	no
Damaliscus lunatus	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Tragelaphus angasii	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
Alcelaphus buselaphus	Cooperia	Boomker, J., Horak, I. G., and De Vos, V. (1986) The helminth parasites of various artiodactylids from some South African nature reserves. Onderstepoort Journal of Veterinary Research, 53: 93-102.	yes	no
